ticker,cik,valid_from,valid_to,company_name,evidence
KORS,1530721,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
LLL,1056239,2015-01-01,2016-01-01,L3 Technologies,SEC instance ticker evidence (4 filings) through 2015-12-15
LLTC,791907,2015-01-01,2016-01-01,,SEC instance ticker evidence (2 filings) through 2015-12-15
LM,704051,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
LVLT,794323,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
MJN,1452575,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
MNK,1567892,2015-01-01,2016-01-01,,SEC instance ticker evidence (5 filings) through 2015-12-15
MON,1110783,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
MYL,1623613,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
NFX,912750,2015-01-01,2016-01-01,Newfield Exploration,SEC instance ticker evidence (4 filings) through 2015-12-15
PCL,849213,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
PCP,79958,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
PDCO,891024,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
POM,1135971,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
PX,884905,2015-01-01,2016-01-01,,SEC instance ticker evidence (5 filings) through 2015-12-15
RAI,1275283,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
SCG,754737,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
SE,1373835,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
SNI,1619096,2015-01-01,2016-01-01,,SEC instance ticker evidence (5 filings) through 2015-12-15
SPLS,791519,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
SRCL,861878,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
STJ,203077,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
SWN,7332,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
TE,350563,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
TGNA,39899,2015-01-01,2016-01-01,,SEC instance ticker evidence (2 filings) through 2015-12-15
TSS,721683,2015-01-01,2016-01-01,TSYS,SEC instance ticker evidence (4 filings) through 2015-12-15
TWC,1377013,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
TWX,1105705,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
UTX,101829,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
WFM,865436,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
